id	parentId	type	text	options	target	signal
START	null	start	Good evening. Let's reflect on your work today.			

A1_OPEN	START	question	How would you describe your recent work experience?	Frustrating|Productive|Mixed|Unclear		
A1_D1	A1_OPEN	decision		answer=Productive|Mixed:A1_Q_HIGH;answer=Frustrating|Unclear:A1_Q_LOW		

A1_Q_HIGH	A1_D1	question	You said "{A1_OPEN.answer}". When things went well, what contributed most?	My effort|Team support|Planning|Luck		axis1:internal
A1_Q_LOW	A1_D1	question	You said "{A1_OPEN.answer}". When things went wrong, what was your first instinct?	Blame situation|Wait for help|Try to fix|Avoid thinking		axis1:external

A1_R_INT	A1_Q_HIGH	reflection	You recognize your role in outcomes. That reflects ownership and control over your work.			axis1:internal
A1_R_EXT	A1_Q_LOW	reflection	It's easy to focus on external factors. But somewhere, your choices still shaped the outcome.			axis1:external

A1_D2	A1_Q_HIGH	decision		answer=My effort|Planning:A1_R_INT;answer=Team support|Luck:A1_R_EXT		
A1_D2B	A1_Q_LOW	decision		answer=Try to fix:A1_R_INT;answer=Blame situation|Wait for help|Avoid thinking:A1_R_EXT		

BRIDGE_1_2	A1_R_INT	bridge	Now let's shift from how you handled things — to how you worked with others.		A2_OPEN	
BRIDGE_1_2B	A1_R_EXT	bridge	Now let's shift from how you handled things — to how you worked with others.		A2_OPEN	

A2_OPEN	null	question	Think about your interactions today. What best describes your role?	I supported others|I collaborated|I focused on myself|I felt ignored		

A2_D1	A2_OPEN	decision		answer=I supported others|I collaborated:A2_Q_HIGH;answer=I focused on myself|I felt ignored:A2_Q_LOW		

A2_Q_HIGH	A2_D1	question	You contributed actively. What motivated that?	Helping team succeed|Learning|Responsibility|Recognition		axis2:contribution
A2_Q_LOW	A2_D1	question	You were more self-focused. What influenced that?	Work pressure|Lack of support|Habit|Unclear role		axis2:self

A2_R_HIGH	A2_Q_HIGH	reflection	Contribution strengthens both team outcomes and personal growth.			axis2:contribution
A2_R_LOW	A2_Q_LOW	reflection	Focusing only on yourself can limit impact. Awareness is the first step toward contribution.			axis2:self

A2_D2	A2_Q_HIGH	decision		answer=Helping team succeed|Responsibility:A2_R_HIGH;answer=Learning|Recognition:A2_R_HIGH		
A2_D2B	A2_Q_LOW	decision		answer=Work pressure|Lack of support|Habit|Unclear role:A2_R_LOW		

BRIDGE_2_3	A2_R_HIGH	bridge	Now let’s expand beyond immediate work — to your broader impact.		A3_OPEN	
BRIDGE_2_3B	A2_R_LOW	bridge	Now let’s expand beyond immediate work — to your broader impact.		A3_OPEN	

A3_OPEN	null	question	Who do your decisions usually impact?	Only me|My team|My organization|Wider community		

A3_D1	A3_OPEN	decision		answer=Only me:A3_Q_LOW;answer=My team|My organization|Wider community:A3_Q_HIGH		

A3_Q_HIGH	A3_D1	question	You consider broader impact. What drives your decisions?	Long-term value|Impact on others|Growth|Legacy		axis3:wide
A3_Q_LOW	A3_D1	question	Your focus is narrow. What drives your decisions most?	Comfort|Immediate results|Deadlines|Avoiding risk		axis3:narrow

A3_R_HIGH	A3_Q_HIGH	reflection	Thinking beyond yourself increases meaningful and lasting impact.			axis3:wide
A3_R_LOW	A3_Q_LOW	reflection	Short-term focus is natural, but expanding perspective creates greater opportunities.			axis3:narrow

A3_D2	A3_Q_HIGH	decision		answer=Long-term value|Impact on others|Legacy:A3_R_HIGH;answer=Growth:A3_R_HIGH		
A3_D2B	A3_Q_LOW	decision		answer=Comfort|Immediate results|Deadlines|Avoiding risk:A3_R_LOW		

SUMMARY	null	summary	Today you leaned {axis1.dominant} on ownership, {axis2.dominant} on contribution, and {axis3.dominant} on impact. Reflect on how these patterns shape your growth.		

END	SUMMARY	end	See you next session.			
